date,nikkei225_close,nikkei225_chg_pct,tokyo_electron_close,tokyo_electron_chg_pct,usdjpy_close,usdjpy_chg_pct,gold_close,gold_chg_pct,year_ganzhi,year_element,center_star,center_star_element,layer2_relation,mercury_retrograde,mercury_retrograde_name,saturn_neptune_days_from_exact,day_ganzhi,jippougure,venus_sign,venus_bias
2026-07-02,70062.32,0.855,77150.0,3.28,162.47,0.338,4084.7,1.536,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),132,丁丑,False,,
2026-07-03,69744.07,1.471,73200.0,0.356,161.132,-0.866,4197.2,2.055,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),133,戊寅,False,,
2026-07-06,69737.688,-0.009,72320.0,-1.202,162.4,0.589,4149.6,0.897,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),136,辛巳,False,,
2026-07-07,68256.961,-2.123,69470.0,-3.941,161.88,0.265,4170.8,0.378,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),137,壬午,False,,
2026-07-08,,,,,162.492,0.249,4060.1,-2.055,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),138,癸未,False,,
2026-07-09,67743.852,1.384,71060.0,5.509,162.412,0.03,4125.8,1.349,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),139,甲申,True,,
2026-07-10,68557.727,1.201,72940.0,2.646,161.859,-0.418,4112.0,-0.45,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),140,乙酉,True,乙女座,割安・配当・堅実優勢の示唆
2026-07-13,67242.727,-1.918,71300.0,-2.248,162.161,-0.124,4063.6,-0.987,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),143,戊子,True,乙女座,割安・配当・堅実優勢の示唆
2026-07-14,67743.5,0.745,71130.0,-0.238,162.258,0.235,4028.1,0.778,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),144,己丑,True,乙女座,割安・配当・堅実優勢の示唆
2026-07-15,68751.508,2.244,74240.0,4.372,162.341,-0.054,4033.7,-0.675,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),145,庚寅,True,乙女座,割安・配当・堅実優勢の示唆
2026-07-16,66835.539,-2.787,70890.0,-4.512,162.134,-0.033,4033.3,-0.265,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),146,辛卯,True,乙女座,割安・配当・堅実優勢の示唆
2026-07-17,64141.121,-4.031,65100.0,-8.168,162.327,0.157,3994.7,0.228,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),147,壬辰,True,乙女座,割安・配当・堅実優勢の示唆
2026-07-20,64141.121,-4.031,65100.0,-8.168,162.351,-0.015,4031.0,0.456,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),150,乙未,False,乙女座,割安・配当・堅実優勢の示唆
2026-07-21,66232.188,3.26,66570.0,2.258,162.74,0.14,4062.0,1.289,丙午,火,一白水星,水,相剋:星が年を剋す(隠れたリスクが顕在化しやすい),True,第2回逆行(蟹座),151,丙申,False,乙女座,割安・配当・堅実優勢の示唆
